Subj,Date,Time,Experimenter,Room,Condition,res1_race,res1_name,res1_ver,res1_mancheck,res1_Q1,res1_Q2,res1_Q3,res1_Q4,res1_Q5,res1_Q6,res1_Q7,res1_Q8,res1_Q9,res1_Q10,res1_Q11,res1_Q12,res1_Q13,res2_ver,res2_race,res2_name,res2_mancheck,res2_Q1,res2_Q2,res2_Q3,res2_Q4,res2_Q5,res2_Q6,res2_Q7,res2_Q8,res2_Q9,res2_Q10,res2_Q11,res2_Q12,res2_Q13,hired,hired_race,res1racecheck,res1gendercheck,res2racecheck,res2gendercheck,p_gender1,p_gender1a,p_gender2,p_race_af,p_race_aa,p_race_ha,p_race_an,p_race_pi,p_race_mea,p_race_w,p_race_o,p_race_oa,p_us,p_uslength,Comments,Data Entry Analyst,Date Data Entered,Data Check,Notes
32,2/27/18,12:30,Maddie,F,S,AA,1,A,1,7,7,7,7,7,7,7,4,7,6,6,4,4,B,AF,1,1,7,7,7,7,7,7,7,6,7,6,6,4,4,2,AF,2,2,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,22,,Maddie,3/12/18,Prachi,
33,2/27/18,13:30,Maddie,F,C,AA,4,A,1,7,7,7,7,7,7,7,7,6,5,6,5,3,B,AF,3,1,7,7,7,7,7,7,7,7,7,7,5,6,3,1,AA,2,2,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,18,,Maddie,3/12/18,Prachi,
34,2/27/18,13:30,Maddie,E,S,AF,1,A,1,6,7,7,7,7,7,6,6,7,7,7,4,4,B,AA,3,1,6,7,7,7,7,7,4,4,4,6,6,4,4,1,AF,1,1,2,2,2,0,2,0,0,0,0,0,0,1,0,0,1,18,,Maddie,3/12/18,Prachi,
35,2/27/18,13:30,Maddie,D,S,AF,2,B,1,5,6,5,6,6,6,6,6,6,6,5,5,3,A,AA,2,1,6,6,6,5,,6,5,5,5,6,6,6,4,1,AF,1,1,2,2,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,3/12/18,Prachi,
36,2/27/18,14:00,Maddie,F,S,AA,4,A,1,5,7,6,6,5,6,5,5,5,6,6,6,2,B,AF,4,1,5,7,5,5,6,6,6,7,7,6,6,6,2,1,AA,2,2,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,3/12/18,Prachi,
37,2/27/18,14:00,Maddie,E,C,AA,1,B,1,6,6,6,6,6,7,6,6,5,5,5,5,4,A,AF,2,1,6,6,6,7,6,6,6,6,6,6,6,7,3,1,AA,2,2,1,1,2,0,2,0,0,0,0,0,0,1,0,0,2,12,,Maddie,3/12/18,Prachi,
38,2/27/18,15:10,Maddie,F,C,AF,3,B,1,6,6,6,6,6,6,6,6,6,4,4,4,4,A,AA,3,1,6,6,6,6,6,6,5,4,4,4,4,4,4,1,AF,1,1,2,2,1,0,2,0,0,0,0,0,1,0,0,0,1,18,"Chose closed door despite instructions- C, redirected to F",Maddie,3/12/18,Prachi,
39,2/27/18,15:10,Maddie,E,A,AA,4,B,1,7,7,7,6,7,7,6,5,5,7,7,7,7,A,AF,4,1,7,7,7,7,7,7,6,6,6,7,7,7,7,2,AF,2,2,1,1,2,0,2,0,0,0,0,0,0,1,0,0,1,20,,Maddie,3/12/18,Prachi,
40,2/27/18,15:10,Maddie,D,C,AA,2,B,1,5,6,5,6,5,5,4,2,3,5,5,6,2,A,AF,4,1,6,7,7,6,6,6,6,5,6,5,5,6,2,2,AF,2,,1,,1,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,3/12/18,Prachi,
41,2/27/18,16:40,Avery,F,C,AF,2,B,1,5,6,5,5,6,6,6,6,6,4,4,4,4,A,AA,1,1,5,6,5,5,5,5,5,5,3,4,4,4,4,1,AF,1,,2,,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,3/12/18,Prachi,
42,2/27/18,16:40,Avery,E,A,AA,1,B,,4,5,4,5,7,5,4,4,4,5,5,5,3,A,AF,1,,5,6,5,6,6,6,5,5,5,5,5,5,3,2,AF,2,,1,,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,3/12/18,Prachi,
43,2/27/18,16:40,Avery,D,A,AF,3,B,1,4,5,4,4,,6,4,5,7,6,6,4,5,A,AA,3,1,4,4,4,5,6,6,6,6,5,5,5,3,5,1,AF,1,,2,,2,0,2,0,0,0,0,0,0,1,0,0,1,18,Other participant opened door during debrief. Had to pause mid-sentence,Maddie,3/12/18,Prachi,
44,2/28/18,16:10,Phillip,F,S,AA,1,A,,5,6,6,6,7,7,4,2,4,7,7,4,4,B,AF,2,,6,6,6,6,7,7,7,7,7,7,7,4,4,2,AF,2,,1,,2,0,2,0,0,0,0,0,0,1,0,0,1,18,Participant asked for new pen; make sure pens have ink,Maddie,3/12/18,Prachi,
45,2/28/18,17:10,Phillip,E,S,AA,2,A,1,6,6,6,5,5,5,7,7,3,4,4,7,2,B,AF,3,1,5,6,5,5,5,5,6,6,6,6,6,4,4,2,AF,2,,1,,1,0,2,0,0,0,0,0,0,1,0,0,1,18,,Maddie,3/12/18,Prachi,
46,3/1/18,16:05,Phillip,F,S,AF,2,B,1,7,6,6,6,6,6,6,6,6,6,6,6,5,A,AA,4,1,6,6,7,6,6,6,6,7,7,5,5,5,6,2,AA,7,,2,,2,0,2,0,0,0,0,0,1,0,0,0,1,18,Participant identifies as Middle Eastern/Middle Eastern American,Maddie,3/12/18,Prachi,
47,3/1/18,16:35,Phillip,F,C,AA,2,B,1,6,7,7,7,7,7,6,3,6,7,7,5,3,A,AF,1,1,6,7,7,7,7,7,7,6,7,7,7,6,3,1,AA,2,,1,,2,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,3/12/18,Prachi,
48,3/1/18,16:35,Phillip,E,S,AF,1,A,1,5,7,4,4,4,6,6,5,6,5,4,4,4,B,AA,4,1,4,7,6,5,6,5,5,4,4,4,4,4,4,1,AF,1,,2,,2,0,2,0,0,0,0,0,0,1,0,0,1,18,,Maddie,3/12/18,Prachi,
49,3/1/18,17:05,Phillip,F,A,AF,3,B,1,6,6,6,6,6,6,6,3,6,6,6,4,4,A,AA,1,1,6,6,6,6,6,6,6,6,6,6,6,4,4,2,AA,1,,2,,1,0,3,0,0,0,0,0,0,1,0,0,1,26,,Maddie,3/12/18,Prachi,
50,3/1/18,17:05,Phillip,E,C,AA,1,A,1,5,6,4,5,6,5,5,4,4,6,6,5,2,B,AF,1,1,5,7,5,5,6,5,6,6,6,5,5,5,2,2,AF,2,,1,,1,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,3/12/18,Prachi,
51,3/1/18,17:35,Phillip,F,S,AF,2,A,1,6,7,6,6,6,6,6,6,6,6,6,5,3,B,AA,3,1,6,7,6,6,6,6,6,3,4,6,6,5,3,2,AA,1,,2,,1,0,2,0,0,0,0,0,0,1,0,0,1,19,,Maddie,3/12/18,Prachi,
52,3/1/18,17:35,Phillip,E,A,AF,2,B,1,4,5,3,4,5,6,5,6,6,4,4,4,4,A,AA,3,1,5,6,5,6,5,6,6,6,5,4,4,4,4,2,AA,7,,2,,1,0,2,0,0,0,0,0,0,1,0,0,2,18,,Maddie,3/12/18,Prachi,
